,0,1,2,3,4,5,6,7,8,9,10,11
541,CAE_2,GSP_3,CHS_4,CAE_5,CHS_6,CAE_7,CHS_8,CAE_9,,,,
542,RIC_3,CHO_4,RIC_5,ROA_6,RIC_7,ROA_8,RIC_9,CHO_10,RIC_11,,,
543,ROA_8,RIC_9,,,,,,,,,,
544,ROA_6,RIC_7,,,,,,,,,,
545,CAE_3,CHS_4,CAE_5,,,,,,,,,
546,RIC_3,ROA_4,RIC_5,ROA_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,ROA_12,RIC_13,
547,CHS_6,CAE_7,,,,,,,,,,
548,ROA_10,RIC_11,ROA_12,,,,,,,,,
549,CAE_6,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,
550,ROA_2,RIC_3,CHO_4,RIC_5,CHO_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,,
551,CAE_9,CHS_10,CAE_11,,,,,,,,,
552,MYR_3,RIC_4,MYR_5,CAE_6,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,GSP_12,CHS_13,
553,CAE_6,CHS_7,GSP_8,,,,,,,,,
554,CHO_10,RIC_11,ROA_12,RIC_13,,,,,,,,
555,CHO_6,ROA_7,RIC_8,,,,,,,,,
556,CAE_4,CHS_5,CAE_6,CHS_7,CAE_8,,,,,,,
557,CAE_4,CHS_5,CAE_6,CHS_7,CAE_8,CHS_9,CAE_10,,,,,
558,ROA_9,RIC_10,CHO_11,,,,,,,,,
559,ROA_9,RIC_10,ROA_11,RIC_12,ROA_13,,,,,,,
560,CHO_9,RIC_10,CHO_11,RIC_12,,,,,,,,
561,CAE_7,CHS_8,,,,,,,,,,
562,CHO_1,RIC_2,CHO_3,ROA_4,RIC_5,CHO_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,
563,CAE_6,CHS_7,GSP_8,,,,,,,,,
564,CHS_10,CAE_11,CHS_12,,,,,,,,,
565,CHS_7,CAE_8,CHS_9,CAE_10,,,,,,,,
566,ROA_9,RIC_10,,,,,,,,,,
567,CHS_6,GSP_7,CHS_8,CAE_9,,,,,,,,
568,CHS_4,GSP_5,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,,,,,
569,CAE_4,CHS_5,CAE_6,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,,,,
570,RIC_8,ROA_9,RIC_10,ROA_11,CHO_12,,,,,,,
